row_id,grammar,lats,K,N,pd,true_pct,src,verbatim,span,N,K,log2K,pd,m_s,fresh,mean_lag,std_lag,max_lag,min_lag,r,m
19,d10,"[0, 0, 0, 10, 10, 30]",8,6,3,54.1,spin9-output.txt,"32/144 |       d10 | [0, 0, 0, 10, 10, 30] |         8 |       533 |       543 |       542 |       551 |       535 |      54.1 |     13258 |    313802",30,6,8,3.0,3,0.222222,3,8.333333,10.671874,30,0,2.0,0.857143
20,m15,"[0, 0, 0, 0, 15, 30]",1,6,3,51.9,spin9-output.txt,"33/144 |       m15 | [0, 0, 0, 0, 15, 30] |         1 |       520 |       521 |       514 |       518 |       522 |      51.9 |     15926 |    435479",30,6,1,0.0,3,0.229167,4,7.5,11.456439,30,0,2.0,0.857143
21,m15,"[0, 0, 0, 0, 15, 30]",2,6,3,49.7,spin9-output.txt,"33/144 |       m15 | [0, 0, 0, 0, 15, 30] |         2 |       501 |       518 |       516 |       470 |       478 |      49.7 |     17265 |    597047",30,6,2,1.0,3,0.229167,4,7.5,11.456439,30,0,2.0,0.857143
22,m15,"[0, 0, 0, 0, 15, 30]",4,6,3,57.6,spin9-output.txt,"33/144 |       m15 | [0, 0, 0, 0, 15, 30] |         4 |       575 |       571 |       573 |       584 |       575 |      57.6 |     15737 |    378006",30,6,4,2.0,3,0.229167,4,7.5,11.456439,30,0,2.0,0.857143
23,m15,"[0, 0, 0, 0, 15, 30]",8,6,3,60.3,spin9-output.txt,"33/144 |       m15 | [0, 0, 0, 0, 15, 30] |         8 |       599 |       600 |       602 |       608 |       604 |      60.3 |     15389 |    375855",30,6,8,3.0,3,0.229167,4,7.5,11.456439,30,0,2.0,0.857143
24,m20,"[0, 0, 0, 0, 20, 30]",1,6,3,51.6,spin9-output.txt,"38/144 |       m20 | [0, 0, 0, 0, 20, 30] |         1 |       517 |       525 |       514 |       511 |       514 |      51.6 |     15990 |    467945",30,6,1,0.0,3,0.263889,4,8.333333,12.133516,30,0,2.0,0.857143
25,m20,"[0, 0, 0, 0, 20, 30]",2,6,3,53.2,spin9-output.txt,"38/144 |       m20 | [0, 0, 0, 0, 20, 30] |         2 |       562 |       536 |       539 |       520 |       501 |      53.2 |     16551 |    607378",30,6,2,1.0,3,0.263889,4,8.333333,12.133516,30,0,2.0,0.857143
26,m20,"[0, 0, 0, 0, 20, 30]",4,6,3,53.9,spin9-output.txt,"38/144 |       m20 | [0, 0, 0, 0, 20, 30] |         4 |       535 |       539 |       542 |       539 |       542 |      53.9 |     17215 |    422426",30,6,4,2.0,3,0.263889,4,8.333333,12.133516,30,0,2.0,0.857143
27,m20,"[0, 0, 0, 0, 20, 30]",8,6,3,55.4,spin9-output.txt,"38/144 |       m20 | [0, 0, 0, 0, 20, 30] |         8 |       552 |       548 |       558 |       560 |       554 |      55.4 |     16911 |    419273",30,6,8,3.0,3,0.263889,4,8.333333,12.133516,30,0,2.0,0.857143
28,m24,"[0, 0, 0, 0, 24, 30]",1,6,3,50.0,spin9-output.txt,"42/144 |       m24 | [0, 0, 0, 0, 24, 30] |         1 |       504 |       505 |       494 |       504 |       494 |      50.0 |     16616 |    509310",30,6,1,0.0,3,0.291667,4,9.0,12.845233,30,0,2.0,0.857143
29,m24,"[0, 0, 0, 0, 24, 30]",2,6,3,54.1,spin9-output.txt,"42/144 |       m24 | [0, 0, 0, 0, 24, 30] |         2 |       513 |       563 |       560 |       502 |       569 |      54.1 |     15943 |    650564",30,6,2,1.0,3,0.291667,4,9.0,12.845233,30,0,2.0,0.857143
30,m24,"[0, 0, 0, 0, 24, 30]",4,6,3,50.1,spin9-output.txt,"42/144 |       m24 | [0, 0, 0, 0, 24, 30] |         4 |       502 |       504 |       499 |       507 |       495 |      50.1 |     18280 |    458367",30,6,4,2.0,3,0.291667,4,9.0,12.845233,30,0,2.0,0.857143
31,m24,"[0, 0, 0, 0, 24, 30]",8,6,3,52.6,spin9-output.txt,"42/144 |       m24 | [0, 0, 0, 0, 24, 30] |         8 |       521 |       520 |       538 |       535 |       515 |      52.6 |     17903 |    454992",30,6,8,3.0,3,0.291667,4,9.0,12.845233,30,0,2.0,0.857143
32,d15,"[0, 0, 0, 15, 15, 30]",1,6,3,54.0,spin9-output.txt,"42/144 |       d15 | [0, 0, 0, 15, 15, 30] |         1 |       538 |       535 |       547 |       539 |       540 |      54.0 |     15805 |    419397",30,6,1,0.0,3,0.291667,3,10.0,11.18034,30,0,2.0,0.857143
