build	LUT4	FF	LC	IO	fmax_MHz	verdict
canonical k4b4a8e1 NCELL=2 (yosys)	6002	2434	-	-	-	UP5K sg48 PnR exit 255
serf NCELL=1 sg48	3221	1479	4232/5280	37	16.77964973449707	PNR_PASS
