config	K	B	AGEW	E	NCELL	LUT4	FF	CARRY
full	8	8	24	4	2	10273	3720	1906
e2	8	8	24	2	2	7658	2910	1277
e2k4	4	8	24	2	2	6846	2702	1179
k4	4	8	24	4	2	8728	3304	1756
k4a12	4	8	12	4	2	8541	3208	1660
k4b4a12e2	4	4	12	2	2	6643	2590	1115
k4b4a8e1	4	4	8	1	2	5800	2336	856
k8a12	8	8	12	4	2	10122	3624	1810
n4k4e2	4	8	24	2	4	13488	5242	2435
