seed,sweep:mode,events,debt,constr,cancel,chatter,maxErr,pctW
1,seq,2524,48450,940,0,1860,61,518
1,int,2064,35157,77,63,912,38,830
7,seq,2655,50492,1006,0,1969,61,493
7,int,2022,34821,67,70,874,39,824
42,seq,2469,47492,890,0,1777,61,530
42,int,2044,35076,84,84,892,38,834
1999,seq,2602,50142,907,0,1903,61,505
1999,int,2009,34416,69,68,841,39,836
20260902,seq,2513,48397,891,0,1820,61,518
20260902,int,2070,35508,79,68,927,39,829
